AL092017,             HARVEY,     74,
20170816, 0600,  , LO, 13.7N,  45.8W,  25, 1013,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170816, 1200,  , LO, 13.7N,  47.4W,  25, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170816, 1800,  , LO, 13.6N,  49.0W,  25, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170817, 0000,  , LO, 13.6N,  50.6W,  25, 1010,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170817, 0600,  , TD, 13.4N,  52.0W,  25, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170817, 1200,  , TD, 13.1N,  53.4W,  30, 1008,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170817, 1800,  , TS, 13.0N,  55.0W,  35, 1004,   30,    0,    0,   30,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170818, 0000,  , TS, 13.0N,  56.6W,  40, 1003,   50,    0,    0,   50,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170818, 0600,  , TS, 13.0N,  58.4W,  40, 1004,   50,    0,    0,   50,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170818, 1000, L, TS, 13.1N,  59.6W,  40, 1004,   50,    0,    0,   50,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170818, 1200,  , TS, 13.1N,  60.3W,  40, 1004,   60,    0,    0,   60,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170818, 1500, L, TS, 13.2N,  61.2W,  40, 1004,   60,    0,    0,   60,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170818, 1800,  , TS, 13.2N,  62.2W,  35, 1005,   60,    0,    0,   60,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170819, 0000,  , TS, 13.4N,  64.0W,  35, 1005,   60,    0,    0,   60,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170819, 0600,  , TS, 13.5N,  65.7W,  35, 1005,   60,    0,    0,   60,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170819, 1200,  , TD, 13.7N,  67.5W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170819, 1800,  , WV, 13.8N,  69.2W,  30, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170820, 0000,  , WV, 14.0N,  71.0W,  30, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170820, 0600,  , WV, 14.2N,  72.9W,  30, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
20170820, 1200,  , WV, 14.4N,  75.0W,  30, 1006,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0, -999
