property_id,zip,zip_truth_rate,fema_zip_flood_rate,flooded_truth,raw_flood_score,impact_class
HARV-00001,77406,0.08215403882279274,0.08215403882279274,1,0.0,Remote-Deny
HARV-00003,77493,0.017057885563837284,0.017057885563837284,0,0.0,Remote-Deny
HARV-00004,77449,0.005841453031879671,0.005841453031879671,0,0.0,Remote-Deny
HARV-00005,77494,0.004935030843942775,0.004935030843942775,0,0.0,Remote-Deny
HARV-00006,77096,0.2997135354499881,0.2997135354499881,1,0.0,Remote-Deny
HARV-00007,77040,0.023003472222222224,0.023003472222222224,1,0.0,Remote-Deny
HARV-00008,77077,0.05631399317406143,0.05631399317406143,1,0.0,Remote-Deny
HARV-00009,77084,0.05629127253257184,0.05629127253257184,1,0.0,Remote-Deny
HARV-00010,77082,0.01626283367556468,0.01626283367556468,0,0.0,Remote-Deny
HARV-00011,77449,0.005841453031879671,0.005841453031879671,0,0.7977,Review
HARV-00012,77450,0.052482670816239925,0.052482670816239925,1,0.0,Remote-Deny
HARV-00013,77072,0.02838533290447089,0.02838533290447089,1,0.0,Remote-Deny
HARV-00015,77450,0.052482670816239925,0.052482670816239925,1,0.0,Remote-Deny
HARV-00016,77072,0.02838533290447089,0.02838533290447089,1,0.0,Remote-Deny
HARV-00018,77449,0.005841453031879671,0.005841453031879671,0,0.0,Remote-Deny
HARV-00019,77095,0.005858093542037679,0.005858093542037679,0,0.0,Remote-Deny
HARV-00020,77433,0.009332949787451658,0.009332949787451658,0,0.0,Remote-Deny
HARV-00021,77080,0.011360297718147096,0.011360297718147096,0,0.0,Remote-Deny
HARV-00023,77449,0.005841453031879671,0.005841453031879671,0,0.0,Remote-Deny
HARV-00024,77083,0.006111202051617831,0.006111202051617831,0,0.0,Remote-Deny
HARV-00025,77095,0.005858093542037679,0.005858093542037679,0,0.0,Remote-Deny
HARV-00026,77040,0.023003472222222224,0.023003472222222224,1,0.0,Remote-Deny
HARV-00027,77095,0.005858093542037679,0.005858093542037679,0,0.0,Remote-Deny
HARV-00028,77064,0.003712429499535946,0.003712429499535946,0,0.0,Remote-Deny
HARV-00029,77065,0.037514853165846206,0.037514853165846206,1,0.0,Remote-Deny
HARV-00030,77450,0.052482670816239925,0.052482670816239925,1,0.0,Remote-Deny
HARV-00031,77493,0.017057885563837284,0.017057885563837284,0,0.0,Remote-Deny
HARV-00032,77433,0.009332949787451658,0.009332949787451658,0,0.0,Remote-Deny
HARV-00033,77494,0.004935030843942775,0.004935030843942775,0,0.0,Remote-Deny
HARV-00034,77493,0.017057885563837284,0.017057885563837284,0,0.0,Remote-Deny
HARV-00035,77063,0.08053251855085115,0.08053251855085115,1,0.0,Remote-Deny
HARV-00036,77040,0.023003472222222224,0.023003472222222224,1,0.0,Remote-Deny
HARV-00037,77096,0.2997135354499881,0.2997135354499881,1,0.0,Remote-Deny
HARV-00038,77080,0.011360297718147096,0.011360297718147096,0,0.0,Remote-Deny
HARV-00039,77493,0.017057885563837284,0.017057885563837284,0,0.0,Remote-Deny
