property_id,address,hwm_id,site_id,latitude,longitude,surveyed_ft,hwm_quality,hwm_type,hwm_environment,waterbody,flag_date,survey_date,base_mean_db_mean,base_mean_db_min,base_std_db_mean,base_std_db_min,hand_ft_mean,hand_ft_min,perm_water_mean,perm_water_min,slope_deg_mean,slope_deg_min,vv_20170829_mean,vv_20170829_min,vv_db_mean,vv_db_min,z_20170829_mean,z_20170829_min,z_mean,z_min,pass_absolute,pass_change,pass_slope,pass_not_perm,pass_all
22029,HWM 22029,22029,21420,29.85088,-95.77355,2.65,Poor: +/- 0.40 ft,Seed line,Riverine,South Mayde Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,-10.116083130844892,-11.45858094474963,0.7044827134171883,0.5752363735181363,0.6196121832958432,0.0,0.0,0,1.2588416875484294,0.22901382648732568,-8.979403767162252,-13.730730716599572,-8.979403767162252,-13.730730716599572,1.4231330431893678,-2.5348740564643957,1.4231330431893678,-2.5348740564643957,False,True,True,True,False
22030,HWM 22030,22030,21420,29.8518,-95.77282,2.64,Poor: +/- 0.40 ft,Mud,Riverine,South Mayde Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,-12.002348578136067,-14.425829067382063,0.9436553862869186,0.6550550809255908,4.58181332351853,0.0,0.0,0,0.2994380148784186,0.10614210513528548,-11.681005828189688,-14.00418251489229,-11.681005828189688,-14.00418251489229,0.3512151693442091,-0.35388469390701865,0.35121516934420927,-0.35388469390701865,False,False,True,True,False
22031,HWM 22031,22031,21422,29.87522,-95.76947,0.58,Good: +/- 0.10 ft,Seed line,Riverine,Bear Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,-10.590907069882928,-11.932915802339473,0.8696444772535186,0.7310937479410675,0.6266584471837633,0.0,0.0,0,2.041512565564765,0.1333958348982497,-10.721652475646613,-11.962890005138469,-10.721652475646613,-11.962890005138469,-0.1517530349196884,-1.3868724379790809,-0.1517530349196882,-1.3868724379790809,False,False,True,True,False
22032,HWM 22032,22032,21422,29.87501,-95.77007,0.91,Fair: +/- 0.20 ft,Seed line,Riverine,Bear Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,-10.960192686551787,-12.34075390524023,1.432797797859169,0.7310937479410675,0.48722124277614587,0.0,0.0,0,2.064511571336391,0.42149203328671203,-12.404769088823764,-16.669187675930445,-12.404769088823764,-16.66918767593045,-0.8185155422494964,-1.9971131193471814,-0.8185155422494962,-1.997113119347183,True,False,True,True,False
22033,HWM 22033,22033,21423,29.86147,-95.73068,1.29,Good: +/- 0.10 ft,Debris,Riverine,Bear Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,-13.279255018687449,-14.48862117360391,0.8702007988977112,0.7370597760685498,2.427505547887989,0.0,0.0,0,2.6671038042801865,0.3438862628742564,-11.154198612636348,-13.512729078325883,-11.154198612636348,-13.512729078325883,2.304074944517251,-1.2863993670320006,2.304074944517251,-1.2863993670320006,False,False,True,True,False
22034,HWM 22034,22034,21423,29.86147,-95.72979,1.47,Fair: +/- 0.20 ft,Seed line,Riverine,Bear Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,-10.264291396276464,-11.536489926807112,1.1161490881244962,0.8476570067974506,0.5860280869678888,0.0,0.0,0,3.0668333554146283,0.20729453984371754,-7.624234521609662,-12.12175112841416,-7.624234521609663,-12.12175112841416,2.2951412744526425,-0.8400203631799558,2.295141274452642,-0.8400203631799558,False,False,True,True,False
22037,HWM 22037,22037,21426,29.91324,-95.68169,5.85,Poor: +/- 0.40 ft,Debris,Riverine,Horsepen Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,-15.92793820358676,-20.075398046669292,1.2378977251554584,0.877911645081763,2.2422966905362354,0.0,0.07154088050314464,0,2.7511759405675424,0.0,-12.691725608101562,-16.08052955808163,-12.691725608101562,-16.08052955808163,2.691334469632445,0.10851331629101686,2.691334469632445,0.10851331629101686,True,False,True,True,False
21648,HWM 21648,21648,21179,29.78443,-95.84458,4.12,Good: +/- 0.10 ft,Vegetation line,Riverine,Snake Cr,2017-09-08T05:00:00,2017-09-08T05:00:00,-7.913049919723977,-9.36650597894958,0.8902693712757159,0.6200056872024836,0.2959085552726707,0.0,0.0,0,1.3824190025618561,0.3016566729187938,-7.243761670424856,-8.876671659466346,-7.243761670424856,-8.876671659466346,0.759207523482575,0.06198198658569685,0.759207523482575,0.06198198658569685,False,False,True,True,False
22040,HWM 22040,22040,21427,29.94112,-95.72098,2.23,Fair: +/- 0.20 ft,Seed line,Riverine,Cypress Creek,2017-09-10T05:00:00,2017-09-10T05:00:00,-13.654452477077362,-14.493896115077147,1.086924716883772,0.8178329238431198,0.8735991897646213,0.6561705030822754,0.0,0,0.9812929893970236,0.14498257021391273,-10.204787016096617,-12.419312098434794,-10.204787016096617,-12.419312098434794,3.191119974794107,1.5456813101501097,3.191119974794107,1.5456813101501097,False,False,True,True,False
21662,HWM 21662,21662,21193,29.76528,-95.82202,1.55,Good: +/- 0.10 ft,Seed line,Riverine,Buffalo Bayou,2017-09-08T05:00:00,2017-09-08T05:00:00,-10.651585335576264,-12.418776565808368,0.8179470416321015,0.6513181942188878,1.6962896054239542,0.0,0.0,0,2.7218420789572426,0.1989474470520559,-0.6474685761685284,-6.983015966264336,-0.6474685761685284,-6.983015966264336,11.707122696268716,5.5902825000663166,11.707122696268716,5.5902825000663166,False,False,True,True,False
21664,HWM 21664,21664,21193,29.76425,-95.82276,3.4,Fair: +/- 0.20 ft,Debris,Riverine,Buffalo Bayou,2017-09-08T05:00:00,2017-09-08T05:00:00,-10.499760900306109,-12.538037121464738,0.8365070880876758,0.6222370446763547,1.4911039779390347,0.0,0.0,0,4.142443100564455,0.6195601362730078,-7.982291482003021,-9.38793299022199,-7.982291482003021,-9.38793299022199,2.946959366891618,0.7204387176717663,2.946959366891618,0.7204387176717663,False,False,True,True,False
21667,HWM 21667,21667,21195,29.74534,-95.78379,1.23,Excellent: +/- 0.05 ft,Seed line,Riverine,Buffalo Bayou,2017-09-08T05:00:00,2017-09-08T05:00:00,-11.052486503464266,-12.979875580471601,1.0258173514861029,0.841495912058531,1.1490666900580058,0.0,0.0,0,3.7077610348077683,0.21653313984441247,-6.224984557083994,-12.338736551663569,-6.224984557083994,-12.338736551663569,4.713840042888342,0.13742370939814422,4.713840042888342,0.13742370939814422,False,False,True,True,False
21668,HWM 21668,21668,21195,29.74527,-95.78409,1.44,Excellent: +/- 0.05 ft,Seed line,Riverine,Buffalo Bayou,2017-09-08T05:00:00,2017-09-08T05:00:00,-10.196103901797725,-12.161114705924765,0.9464768661291579,0.6257433984826714,1.3630458332709185,0.0,0.0,0,2.989833086437141,0.24315862975503996,-4.911771111026752,-10.86234597439012,-4.911771111026752,-10.86234597439012,5.621642744784027,1.3513602979350001,5.621642744784027,1.3513602979350001,False,False,True,True,False
25169,HWM 25169,25169,23176,29.781228,-95.613876,3.4,Excellent: +/- 0.05 ft,Seed line,Riverine,Buffalo Bayou Trib,2017-09-25T05:00:00,2017-09-26T05:00:00,-10.763128322233609,-11.629118521324546,0.620839254689182,0.5167881855101597,3.8966919328070424,2.2965905030822755,0.0,0,2.3777500241188596,0.0843496647998189,-9.453030273441309,-11.323085978456376,-9.453030273441309,-11.323085978456376,1.637622560990374,-0.013093373445474121,1.637622560990374,-0.013093373445474121,False,False,True,True,False
25171,HWM 25171,25171,23177,29.92373,-95.58727,4.9,Good: +/- 0.10 ft,Seed line,Riverine,White Oak Bayou,2017-09-25T05:00:00,2017-09-26T05:00:00,-12.258558041405134,-14.214898810940578,0.8421371026244171,0.6341227936231562,4.570018069077862,3.9370105030822753,0.0,0,4.2690607832688805,0.4442763961234142,-11.704511536442391,-16.851004660563255,-11.704511536442391,-16.851004660563255,0.7383477874125639,-2.762503262742004,0.7383477874125638,-2.762503262742004,True,True,True,True,True
25179,HWM 25179,25179,23181,29.88709,-95.5325,4.0,Excellent: +/- 0.05 ft,Seed line,Riverine,Rolling Fork,2017-09-26T05:00:00,2017-09-26T05:00:00,-8.796626130765041,-9.390772727457238,0.6746224450192093,0.4675145725366449,0.2317028100769452,0.0,0.0,0,2.8373921316946196,0.1579500903550394,-7.230386335227725,-8.208079472212244,-7.230386335227725,-8.208079472212244,1.9570093399784783,1.240427286075585,1.9570093399784783,1.240427286075585,False,False,True,True,False
