property_id,address,hwm_id,site_id,latitude,longitude,surveyed_ft,hwm_quality,hwm_type,hwm_environment,waterbody,flag_date,survey_date,double_bounce_max,double_bounce_mean,dualpol_max,dualpol_mean,open_water_max,open_water_mean,optical_max,optical_mean,optical_valid_max,optical_valid_mean,subpixel_max,subpixel_mean,vh_z_max,vh_z_mean,z_max,z_mean
21588,HWM 21588,21588,21135,29.6253,-95.7154,0.81,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0,0.0,1,1,0,0.0,1.1818351374315565,0.40880557017333624,0.8105517874418989,0.1854804426625647
21580,HWM 21580,21580,21139,29.6173,-95.7326,0.81,Excellent: +/- 0.05 ft,Debris,Riverine,Brazos River,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0,0.0,1,1,0,0.0,2.4058300684247085,1.4764724416002089,2.3104475606055006,0.6479553020477656
21581,HWM 21581,21581,21139,29.6173,-95.7326,0.67,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0,0.0,1,1,0,0.0,2.4058300684247085,1.4764724416002089,2.3104475606055006,0.6479553020477656
21908,HWM 21908,21908,21365,29.55893,-95.63732,1.39,Good: +/- 0.10 ft,Seed line,Riverine,unknown,2017-09-06T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0,0.0,1,1,0,0.0,1.1263916319032996,0.06310231969918752,1.0282762759698412,0.6095872177497429
21855,HWM 21855,21855,21336,29.71693,-95.74408,2.73,Fair: +/- 0.20 ft,Stain line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0,0,0,0,0,0,0.0,1,1,0,0.0,2.143781288170244,1.1094756547662312,3.123716810700603,1.6483033220386376
21856,HWM 21856,21856,21336,29.71575,-95.74281,1.33,Fair: +/- 0.20 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0,0,0,0,0,0,0.0,1,1,0,0.0,2.2293261424497013,1.429464809510506,2.6345597215432774,1.7931737709510076
21871,HWM 21871,21871,21346,29.469,-95.7726,4.03,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-11T05:00:00,0,0,0,0,0,0,0,0.0,1,1,0,0.0,1.6583539402839642,0.825723176187255,0.42849843824277534,0.07586925199292412
21875,HWM 21875,21875,21351,29.5785,-95.794,5.0,Excellent: +/- 0.05 ft,Mud,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,1,0.7509107468123862,1,1,1,0.025956284153005466,0.8248226564241662,-0.4337690197440438,1.0993553485336613,0.05433224737795095
21876,HWM 21876,21876,21351,29.5785,-95.794,4.24,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,1,0.7509107468123862,1,1,1,0.025956284153005466,0.8248226564241662,-0.4337690197440438,1.0993553485336613,0.05433224737795095
21877,HWM 21877,21877,21351,29.5785,-95.794,3.02,Excellent: +/- 0.05 ft,Seed line,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,1,0.7509107468123862,1,1,1,0.025956284153005466,0.8248226564241662,-0.4337690197440438,1.0993553485336613,0.05433224737795095
