property_id,zip,zip_truth_rate,fema_zip_flood_rate,flooded_truth,raw_flood_score,impact_class
BRZ-00001,77479,0.015656941089016913,0.015656941089016913,0,0.0011,Remote-Deny
BRZ-00002,77469,0.004148122542453442,0.004148122542453442,0,0.024,Remote-Deny
BRZ-00003,77498,0.0063528732313023395,0.0063528732313023395,0,0.0,Remote-Deny
BRZ-00004,77083,0.003441756750206021,0.003441756750206021,0,0.0,Remote-Deny
BRZ-00005,77083,0.003441756750206021,0.003441756750206021,0,0.0085,Remote-Deny
BRZ-00006,77498,0.0063528732313023395,0.0063528732313023395,0,0.0186,Remote-Deny
BRZ-00007,77494,0.016089385474860336,0.016089385474860336,0,0.0,Remote-Deny
BRZ-00008,77072,0.039826498422712936,0.039826498422712936,1,0.004,Remote-Deny
BRZ-00009,77469,0.004148122542453442,0.004148122542453442,0,0.3309,Review
BRZ-00010,77469,0.004148122542453442,0.004148122542453442,0,0.0094,Remote-Deny
BRZ-00011,77406,0.02476156360542695,0.02476156360542695,1,0.0,Remote-Deny
BRZ-00012,77406,0.02476156360542695,0.02476156360542695,1,0.0,Remote-Deny
BRZ-00013,77083,0.003441756750206021,0.003441756750206021,0,0.0333,Remote-Deny
BRZ-00014,77441,0.011634671320535195,0.011634671320535195,0,0.0,Remote-Deny
BRZ-00015,77083,0.003441756750206021,0.003441756750206021,0,0.0111,Remote-Deny
BRZ-00016,77498,0.0063528732313023395,0.0063528732313023395,0,0.0159,Remote-Deny
BRZ-00017,77406,0.02476156360542695,0.02476156360542695,1,0.0,Remote-Deny
BRZ-00018,77407,0.0058981698325960615,0.0058981698325960615,0,0.0549,Remote-Deny
BRZ-00019,77407,0.0058981698325960615,0.0058981698325960615,0,0.0,Remote-Deny
BRZ-00020,77479,0.015656941089016913,0.015656941089016913,0,0.0,Remote-Deny
BRZ-00021,77407,0.0058981698325960615,0.0058981698325960615,0,0.0124,Remote-Deny
BRZ-00022,77494,0.016089385474860336,0.016089385474860336,0,0.0,Remote-Deny
BRZ-00023,77083,0.003441756750206021,0.003441756750206021,0,0.0,Remote-Deny
BRZ-00024,77498,0.0063528732313023395,0.0063528732313023395,0,0.0,Remote-Deny
