property_id,db,dark,z,urban,hand,vv
BRZ-00001,0.0,0.0,0.40725068282521354,0.5906571654790184,8.352245111156595,-9.73171543431516
BRZ-00002,0.0,0.0,0.4337143825454365,0.06877470355731226,11.763299239030019,-9.068519207575697
BRZ-00003,0.0,0.0,0.11482933861172456,1.0,7.611209268724246,-9.081934851320401
BRZ-00004,0.0,0.0,-0.0005880912578541014,1.0,1.8898844180485201,-9.175299231100558
BRZ-00005,0.0,0.0,0.49595764802590764,1.0,1.9310171810340735,-9.091480242040706
BRZ-00006,0.0,0.0,-0.30099522672608126,0.9889676910953507,2.662416105842079,-9.416516460488296
BRZ-00007,0.0,0.0,-0.2707285925303239,1.0,10.066467854535617,-8.138115113424323
BRZ-00008,0.0,0.0,0.35062170391509623,1.0,1.8370380070428134,-8.740649708462064
BRZ-00009,0.0,0.07066719305171734,-1.5944541262886145,0.47295696802210824,1.0587321390371704,-14.652803810085603
BRZ-00010,0.0,0.0,0.8978476531125358,0.0,2.660824684100068,-9.576628504643104
BRZ-00011,0.0,0.0,0.04206820975940322,0.2698538127222442,6.214801174555475,-9.585529842757511
BRZ-00012,0.0,0.0,-0.40601375470308987,0.11916072842438641,16.92762975602169,-10.429270804843975
BRZ-00013,0.0,0.0,-0.6314148165467953,1.0,2.297239405874089,-8.902711773379854
BRZ-00014,0.0,0.0,0.819204905392888,0.0,4.2900548813855,-8.228856103495426
BRZ-00015,0.0,0.0,0.6342074794393494,1.0,1.1847093956420562,-9.18016070638354
BRZ-00016,0.0,0.0,0.14192396462055346,1.0,5.656997634952097,-8.997874507525902
BRZ-00017,0.0,0.0,0.015474132105050775,0.9728132387706854,0.22311865412135684,-9.301186631161428
BRZ-00018,0.0,0.0,-0.019842670612905167,1.0,4.59731299290046,-9.537215541095797
BRZ-00019,0.0,0.0,1.1887866263819598,0.0,4.02571022127331,-10.671718397738182
BRZ-00020,0.0,0.0,0.38165811304199604,0.7744479495268141,0.6322366566290692,-8.891324920913451
BRZ-00021,0.010157170138749366,0.0,-0.8347286408838336,1.0,1.3332229354056846,-9.881785509301091
BRZ-00022,0.07705257855919824,0.0,0.3445287049612127,0.8947160883280759,3.2549699537699612,-10.370752065168768
