property_id,address,hwm_id,site_id,latitude,longitude,surveyed_ft,hwm_quality,hwm_type,hwm_environment,waterbody,flag_date,survey_date,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,hand_ft,water_fraction,dpol_available,dpol_water,db_available,double_bounce,vh_available,vh_water_pct,rain_mm,ndvi_valid,ndvi_delta,near_water_flag,flood_s0,flood_s1,flood_s2,sample_radius_m
21588,HWM 21588,21588,21135,29.6253,-95.7154,0.81,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0.0,0.0,0,1,0.0,0.0,6.624,3.89,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21580,HWM 21580,21580,21139,29.6173,-95.7326,0.81,Excellent: +/- 0.05 ft,Debris,Riverine,Brazos River,2017-09-05T05:00:00,2017-10-07T05:00:00,0.0,0.0,1,1,0.0,0.0,11.177,2.71,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21581,HWM 21581,21581,21139,29.6173,-95.7326,0.67,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0.0,0.0,1,1,0.0,0.0,11.177,2.71,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21908,HWM 21908,21908,21365,29.55893,-95.63732,1.39,Good: +/- 0.10 ft,Seed line,Riverine,unknown,2017-09-06T05:00:00,2017-10-07T05:00:00,0.0,0.0,1,1,0.0,0.0,30.216,4.74,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21855,HWM 21855,21855,21336,29.71693,-95.74408,2.73,Fair: +/- 0.20 ft,Stain line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0.0,0.0,1,1,0.0,0.0,4.135,2.63,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21856,HWM 21856,21856,21336,29.71575,-95.74281,1.33,Fair: +/- 0.20 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0.0,0.0,1,1,0.0,0.0,9.391,14.88,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21871,HWM 21871,21871,21346,29.469,-95.7726,4.03,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-11T05:00:00,0.0,0.0,0,1,0.0,0.0,13.25,2.78,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,1,,,,50
21875,HWM 21875,21875,21351,29.5785,-95.794,5.0,Excellent: +/- 0.05 ft,Mud,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0.0,0.0,1,1,0.7509,0.0,2.322,1.24,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21876,HWM 21876,21876,21351,29.5785,-95.794,4.24,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0.0,0.0,1,1,0.7509,0.0,2.322,1.24,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21877,HWM 21877,21877,21351,29.5785,-95.794,3.02,Excellent: +/- 0.05 ft,Seed line,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0.0,0.0,1,1,0.7509,0.0,2.322,1.24,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21878,HWM 21878,21878,21352,29.5653,-95.8038,8.6,Excellent: +/- 0.05 ft,Seed line,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0.0,0.0,0,1,0.0,0.0,25.819,1.61,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,1,,,,50
21879,HWM 21879,21879,21352,29.5653,-95.8038,5.63,Excellent: +/- 0.05 ft,Mud,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0.0,0.0,0,1,0.0,0.0,25.819,1.61,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,1,,,,50
